,DysiNKTD1_KKU213C,DysiNKTD2_KKU213C,DysiNKTD2_SSP25,iNKTD2_D131,iNKTD1,iNKTD2
ENSG00000005194,29.062295,22.030165,26.226039,26.839125,39.33637,33.248189
ENSG00000005206,115.153821,90.715681,129.940477,112.660589,24.205026,55.132194
ENSG00000005238,32.644329,28.069841,30.778754,18.168646,17.164922,22.95675
ENSG00000005243,8.906217,6.801367,1.533819,5.996229,9.478678,8.932745
ENSG00000005249,0.544448,0.304639,0.807564,0.743626,0.654096,0.350297
ENSG00000005302,79.293022,92.888027,69.634522,80.98351,40.710467,56.635843
ENSG00000005339,63.387088,71.754864,39.362535,44.642805,31.155716,53.251313
ENSG00000005379,62.706282,64.530129,83.580302,110.357678,19.783341,56.518749
ENSG00000005381,0.525519,0,0,0,0.051421,0
ENSG00000005421,0,0,0,0,0,0
ENSG00000005436,13.407222,16.583309,15.114587,17.487457,12.2812,16.266767
ENSG00000005448,65.318174,58.094531,49.347482,90.87708,54.624628,47.084326
ENSG00000005469,13.081334,16.404049,11.729737,8.595538,5.603336,11.042087
ENSG00000005471,0.100313,0.022051,0,0,0.088379,0.066999
ENSG00000005483,123.49635,107.465994,111.929113,102.987905,55.82656,84.705262
ENSG00000005486,84.291989,94.247851,74.116042,65.648854,34.919137,55.673925
ENSG00000005513,0.53087,0.244716,1.812237,1.527908,0.03632,0.072945
ENSG00000005700,19.187541,27.961057,21.045936,21.980805,25.997045,27.404277
ENSG00000005801,13.203951,16.144954,21.336045,17.646988,15.04762,19.343723
ENSG00000005810,99.441946,70.12393,106.595124,94.087642,40.428668,83.820036
ENSG00000005812,26.396393,34.100127,33.479506,32.666665,26.820355,36.896151
ENSG00000005844,740.688647,652.404627,476.826449,643.35458,538.89243,781.475876
ENSG00000005882,21.112476,30.473266,16.605356,18.871197,21.01129,38.836313
ENSG00000005884,21.122698,16.361578,24.173552,37.313167,4.836572,10.861738
ENSG00000005889,20.189601,29.272935,25.303295,29.286463,16.662131,29.099733
ENSG00000005893,55.115389,56.375895,61.058024,66.073486,75.128219,77.502875
ENSG00000005961,0.424247,0.064322,1.74402,3.829678,0.248743,0.028757
ENSG00000005981,0.048386,0,0,0.259472,0,0
ENSG00000006007,62.026192,82.598273,58.998235,59.289513,51.791994,57.931485
ENSG00000006015,97.976968,83.10823,108.786526,118.116472,93.483309,95.727245
ENSG00000006016,0,0,0,0.729073,0,0
ENSG00000006025,159.659005,88.714913,93.440773,88.798536,17.303208,27.465528
ENSG00000006042,4.160399,7.992057,11.817264,17.694857,15.030304,16.254722
ENSG00000006047,0.991852,0.235156,1.547783,0.69439,0.29097,0.031599
ENSG00000006059,0,0,0,0,0,0
ENSG00000006062,33.313315,30.342506,26.831411,24.047846,12.383516,20.60888
ENSG00000006071,0,0,0,0,0,0
ENSG00000006116,0,0,0,0,0,0
ENSG00000006118,1.314137,1.291679,3.656509,47.638991,0.028878,0
ENSG00000006125,116.552841,126.633292,107.482043,105.902217,145.103001,130.82082
ENSG00000006128,0,0,0,0,0,0.094714
ENSG00000006194,33.718333,27.994668,32.975161,26.614491,20.875673,30.68833
ENSG00000006210,0,0.013698,0.145642,0.083582,0.009153,0
ENSG00000006282,21.448891,30.122152,41.925828,44.693852,11.316369,21.632144
ENSG00000006283,0.075489,0,0.15633,0.909636,0,0.068097
ENSG00000006327,8.416394,5.455745,22.800522,36.115223,4.48277,9.853822
ENSG00000006377,0,0,0.345917,0.045413,0,0
ENSG00000006432,4.531009,2.46707,7.044796,5.89182,3.209142,3.087585
ENSG00000006451,51.503948,53.748504,52.227974,51.068329,26.942624,28.555445
ENSG00000006453,0.625566,0.270673,3.898774,0.908217,0.075334,0.040345
ENSG00000006459,54.391738,53.536033,47.662425,31.048711,13.16185,14.836581
ENSG00000006468,2.589148,1.698488,0.896762,2.637348,1.884206,3.08167
ENSG00000006530,12.809095,14.719161,26.358885,17.605959,29.568624,26.775104
ENSG00000006534,0.486066,0.120088,1.158948,0.297581,0.054152,0.130308
ENSG00000006555,10.843578,13.583005,9.456834,8.034346,5.513809,8.502789
ENSG00000006576,39.356879,53.538063,48.393478,46.442594,65.524002,95.466136
ENSG00000006606,0,0,0,0,0,0
ENSG00000006607,5.985576,8.168323,12.895435,6.841479,8.191161,9.104521
ENSG00000006611,0,0,0,0,0,0
ENSG00000006625,16.39358,20.853221,23.51827,20.125779,67.075427,34.963161
ENSG00000006634,16.986486,18.653578,32.172803,16.921878,73.307412,33.925399
ENSG00000006638,2.975668,1.91719,4.582247,3.421783,1.085889,1.865397
ENSG00000006652,39.140823,35.224594,73.198329,46.968987,16.459646,25.694486
ENSG00000006659,0,0,0,0,0,0
ENSG00000006695,8.265295,11.280785,7.505726,6.713912,16.864117,15.791361
ENSG00000006704,0.492408,0.536279,1.314394,1.829378,0.090351,0.569835
ENSG00000006712,43.579755,49.378277,47.260393,55.373761,53.800029,53.370192
ENSG00000006715,30.447891,45.304936,26.326473,39.321879,35.003285,47.31652
ENSG00000006740,0,0.018194,0.035513,1.790007,0,0.016273
ENSG00000006744,38.9183,41.234881,33.514491,42.393622,44.078371,40.133962
ENSG00000006747,0.173517,0.088239,0.242523,0.111627,0.016083,0.230179
ENSG00000006756,7.38846,10.181388,10.888058,17.248542,5.046728,11.580868
ENSG00000006757,0.748139,2.950702,2.700997,1.730611,2.822386,2.929667
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,37.811856,46.887013,43.753782,42.008257,62.595817,47.862822
ENSG00000006837,1.630987,1.607274,5.214229,4.916745,0.70609,1.227453
ENSG00000007001,0,0,0,0,0,0
ENSG00000007038,1.27632,3.916108,6.672484,11.836808,4.185091,5.30087
ENSG00000007047,23.551625,30.32123,26.43558,33.421946,12.623377,21.898466
ENSG00000007062,0,0.020925,0,0,0,0.631062
ENSG00000007080,68.406753,58.76024,60.079042,80.611445,100.914454,90.550762
ENSG00000007129,123.69016,85.117224,170.344138,101.120198,37.704686,64.433936
ENSG00000007168,124.59549,111.272889,176.558473,100.158049,117.113389,111.685063
ENSG00000007171,0.110137,0.073745,0.18171,0.198088,0,0
ENSG00000007174,0.156928,0.046075,0.183609,0.057692,0,0
ENSG00000007202,67.952996,54.519589,65.224413,73.00053,60.266693,61.731017
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,0.877825,2.586686,10.168876,4.879305,0.742743,1.652152
ENSG00000007255,71.213912,84.141658,117.497163,105.047357,54.212108,110.541319
ENSG00000007264,114.612428,40.50685,101.020312,89.030535,49.738979,51.612732
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,22.543796,28.050108,13.808761,22.474344,35.441363,39.808324
ENSG00000007314,0,0,0.039173,0,0.026865,0
ENSG00000007341,9.201461,11.380939,10.379049,20.909695,9.42877,8.735969
ENSG00000007350,0.261603,0.731999,0.128754,0.804321,2.273661,1.148355
ENSG00000007372,0.065177,0.011441,2.027951,8.215555,0,0
ENSG00000007376,20.22681,18.783297,11.590712,18.443389,29.82734,21.674877
ENSG00000007384,0.031556,0.121775,2.081762,2.728188,0,0.10889
ENSG00000007392,110.264664,79.625838,130.461923,88.949417,29.786186,47.493924
ENSG00000007402,6.31172,2.709545,2.389192,3.063736,0.112682,0.380022
ENSG00000007516,11.317486,14.998341,29.359588,89.286593,0.31135,2.792503
ENSG00000007520,36.87056,44.771612,42.36547,51.921837,46.236921,55.416504
ENSG00000007541,26.151523,23.309693,31.660762,34.926282,18.063996,22.151628
ENSG00000007545,24.530757,22.87112,23.23702,19.344205,11.270261,18.283945
ENSG00000007866,1.108089,0.724094,2.995493,2.993733,0.316193,1.021072
ENSG00000007908,0,0,0,0.059164,0,0
ENSG00000007923,21.345904,20.541094,15.913538,21.186235,22.361739,20.785364
ENSG00000007933,0,0.400654,1.1458,1.669521,0.266636,0
ENSG00000007944,40.482506,39.764472,80.477343,73.663406,24.693626,29.391597
ENSG00000007952,0,0,0,0,0,0
ENSG00000007968,5.406925,12.413812,3.930168,4.290326,46.781084,27.238257
ENSG00000008018,143.556872,170.791353,155.306878,135.918063,250.939213,190.480427
ENSG00000008056,0.17024,0.078126,0.254551,0.966059,0,0.437644
ENSG00000008083,20.444312,20.361653,27.95387,24.158546,19.64023,24.401848
ENSG00000008086,3.485965,2.601047,2.339329,4.262059,1.565884,1.655472
ENSG00000008118,0,0,0,0,0,0
ENSG00000008128,163.324146,175.983313,220.549097,185.100002,61.108838,152.236555
ENSG00000008130,94.703746,89.420286,102.934459,100.709355,68.243617,68.129161
ENSG00000008196,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,2.695956,2.841494,2.79649,2.742848,0.291141,1.987061
ENSG00000008256,8.345785,2.662581,11.042939,4.631715,0.656399,1.263036
ENSG00000008277,1.254151,0.992054,0.502012,1.327979,0.480301,0.553226
ENSG00000008282,13.801922,15.961712,17.01688,17.429226,13.822709,24.711171
ENSG00000008283,82.650519,143.365078,75.606492,104.429508,14.33396,86.997736
ENSG00000008294,40.745765,34.846569,55.515967,42.533861,29.032709,30.000141
ENSG00000008300,1.712448,1.637793,2.933693,4.024073,2.224712,2.485228
ENSG00000008311,1.874175,1.369965,3.536881,3.058383,0.771207,0.994149
ENSG00000008323,0.131557,0.065159,1.804731,0.080241,0,0
ENSG00000008324,61.106327,69.734225,62.087129,64.941178,87.733331,77.562303
ENSG00000008382,11.710716,14.392951,10.261977,12.834008,16.219856,15.819883
ENSG00000008394,8.848557,3.097063,21.039935,4.234063,0.953567,0.884583
ENSG00000008405,19.650849,13.587071,35.618368,25.975476,17.879479,18.776297
ENSG00000008438,0,0,0.331384,0.207586,0,0
ENSG00000008441,2.266639,0.052608,0.918632,0.84065,0.061419,0.013047
ENSG00000008513,67.576729,68.361275,89.051585,116.136892,80.751365,83.747333
ENSG00000008516,178.119975,239.385047,177.983347,325.497411,161.829206,427.605588
ENSG00000008517,2118.781789,2727.314322,1177.989546,2583.314303,5554.275056,7930.317335
ENSG00000008710,100.130357,86.511142,122.650982,138.299187,35.666864,81.492971
ENSG00000008735,0.331549,0.194384,0.742086,0.256894,0.094954,0.239027
ENSG00000008838,54.726551,70.447028,49.770317,58.345329,48.132228,71.301666
ENSG00000008853,1.543115,1.337601,3.47786,3.865803,3.016266,3.479067
ENSG00000008869,19.500854,21.870712,28.169551,25.040244,11.609195,18.834122
ENSG00000008952,62.317286,68.83492,71.78605,81.158733,54.699301,65.727582
ENSG00000008988,2073.966595,1649.924387,1997.825507,1739.667862,1681.363519,1715.545337
ENSG00000009307,263.900635,248.796138,359.029117,318.620721,206.520527,210.561775
ENSG00000009335,33.478023,33.495686,31.377778,40.15554,38.301297,42.430637
ENSG00000009413,27.445905,28.440769,26.136064,26.212031,20.707035,24.720792
ENSG00000009694,0.047909,0.078143,0.117052,0.058466,0.008035,0.021511
ENSG00000009709,0,0,0,0,0,0
ENSG00000009724,0.316358,0.069607,0.034078,0.085156,0,0
ENSG00000009765,0.692342,0.759997,0.553797,0.754053,0.080792,0.624033
ENSG00000009780,13.156804,15.797708,15.144351,12.480924,8.029356,10.863485
ENSG00000009790,488.857671,608.539905,392.75381,472.003762,369.467925,449.894811
ENSG00000009830,8.247452,6.582902,7.939065,7.376282,2.860805,4.455045
ENSG00000009844,24.176294,29.214844,31.252099,27.01072,42.485332,37.078404
ENSG00000009950,1.395963,0.866733,1.061689,2.133008,0.304753,0.572532
ENSG00000009954,54.572515,49.992941,54.80156,46.117466,73.278636,58.281709
ENSG00000010017,49.830272,54.5515,58.407004,40.822179,53.218085,48.260958
ENSG00000010030,4.84205,4.893925,3.32903,3.60034,17.445375,4.069229
ENSG00000010072,7.291866,9.813492,9.347932,9.789474,12.035868,9.636197
ENSG00000010165,30.629655,28.965167,46.486599,28.879828,36.206822,27.891624
ENSG00000010219,34.147583,38.598699,37.78267,32.841363,30.252928,36.265704
ENSG00000010244,207.075889,205.271564,199.233003,177.396383,219.565534,193.616389
ENSG00000010256,90.030958,85.285787,67.875601,80.416538,129.412996,82.492388
ENSG00000010270,20.505895,23.357105,34.4838,32.414807,60.109581,36.695103
ENSG00000010278,10.789414,14.152363,30.430082,23.433393,4.102667,18.18842
ENSG00000010282,0,0,0,0,0,0
ENSG00000010292,52.163826,54.585163,50.252894,66.787885,106.063937,81.021816
ENSG00000010295,54.6376,51.955483,50.013713,52.850764,19.430984,36.042205
ENSG00000010310,64.020596,21.299457,107.793128,83.052302,4.375576,9.949412
ENSG00000010318,20.920484,14.509357,19.505281,18.618118,12.310737,8.925294
ENSG00000010319,0,0.032693,0,0.039837,0.032764,0
ENSG00000010322,143.777649,111.144198,131.898021,149.064166,37.046896,64.432775
ENSG00000010327,0.037518,0.039915,0,0.048133,0,0
ENSG00000010361,16.050022,11.615496,13.037001,27.14186,8.229242,7.550566
ENSG00000010379,0.468674,0.32914,0.088053,0.223357,0.059906,0
ENSG00000010404,281.848218,237.935947,231.648016,181.257397,113.347394,136.988121
ENSG00000010438,0,0,0,0,0,0.128649
ENSG00000010539,8.789474,11.179765,13.433,16.641285,8.571885,11.922489
ENSG00000010610,170.513657,298.139461,145.560516,163.413868,72.295111,231.097145
ENSG00000010626,7.778012,3.814579,6.582686,5.676232,2.410214,5.157737
ENSG00000010671,0.086668,0.105475,0,0,0.141405,0
ENSG00000010704,1.720094,1.295001,0.8823,3.618689,2.6587,0.974473
ENSG00000010803,22.895754,12.938747,28.290803,22.282269,17.374187,21.140326
ENSG00000010810,912.435334,705.397497,533.379094,721.970955,221.778289,261.487487
ENSG00000010818,18.623075,13.795947,19.962793,27.271769,9.624237,10.539082
ENSG00000010932,0,0,0,0,0,0
ENSG00000011007,20.2121,25.476243,22.228687,20.317403,32.387409,29.759945
ENSG00000011009,55.825129,59.480311,52.783258,43.223236,79.671101,75.549212
ENSG00000011021,8.274443,9.53125,8.107952,11.59072,9.378346,10.404378
ENSG00000011028,21.964095,9.172772,29.411044,14.997155,5.734412,10.485982
ENSG00000011052,0.406252,1.655112,0.310603,1.012051,11.079348,4.484415
ENSG00000011083,0.02479,0,0,0,0,0
ENSG00000011105,0.630605,0.07538,2.58402,5.846758,0.025179,0.050565
ENSG00000011114,9.409711,10.15977,11.447766,9.034862,9.257826,9.667036
ENSG00000011132,102.623328,101.239184,120.264792,130.799083,44.019136,88.420739
ENSG00000011143,9.634954,10.519696,6.736513,8.85163,9.24456,5.96257
ENSG00000011198,3.908733,9.385713,5.156673,5.176829,18.146098,10.712238
ENSG00000011201,0.342122,0,0,0.0305,0.025109,0
ENSG00000011243,170.131029,152.733192,227.802984,184.232428,43.275214,83.858395
ENSG00000011258,19.687997,15.738715,16.908736,18.414027,5.914391,9.441323
ENSG00000011260,30.151092,25.856973,33.354332,31.010965,45.039195,43.85987
ENSG00000011275,33.317494,28.961179,35.718117,36.816767,14.638806,26.183739
ENSG00000011295,21.330344,21.146961,29.960402,25.365171,16.925438,24.079449
ENSG00000011304,152.938002,171.812726,144.907399,144.000899,232.332415,207.523263
ENSG00000011332,0,0.106388,0,1.777759,0.128699,0
ENSG00000011347,0.147378,0,0.103102,0.080457,0,0.014764
ENSG00000011376,4.210588,4.243052,3.940715,3.791392,12.848135,6.803823
ENSG00000011405,12.08391,17.255945,14.669304,14.428302,7.757595,12.361154
ENSG00000011422,7.497317,6.42896,13.671906,27.960841,6.989635,8.786598
ENSG00000011426,6.380968,7.366011,11.044032,6.559676,31.184947,17.746321
ENSG00000011451,22.36144,24.185961,23.410572,20.999288,17.504722,26.399761
ENSG00000011454,20.145517,19.360743,21.618722,24.753285,15.596496,20.463134
ENSG00000011465,0,0.079094,0,0,0,0.35165
ENSG00000011478,18.60359,17.070325,11.272863,14.970864,6.849888,7.462668
ENSG00000011485,92.032427,89.161798,89.026408,92.340077,93.618421,114.077319
ENSG00000011523,15.257324,11.402862,23.407744,25.391963,2.318631,7.769092
ENSG00000011566,9.391363,7.77787,15.258134,11.072737,2.883992,4.935646
ENSG00000011590,3.338537,1.999578,1.416216,6.035154,22.662334,4.931762
ENSG00000011600,194.130715,185.886876,161.043499,126.492766,73.950979,205.010341
ENSG00000011638,19.55238,13.336326,29.709981,24.550646,9.226164,13.055817
ENSG00000011677,0,0,0.021456,0,0,0
ENSG00000012048,5.648735,6.407922,6.336093,6.952729,39.873114,14.681676
ENSG00000012061,45.868966,51.760475,46.622312,53.370804,50.243006,51.487639
ENSG00000012124,0,0,1.002531,0,0.02126,0.246935
ENSG00000012171,1.372095,0.588002,2.397377,1.372962,0.050266,0.032277
ENSG00000012174,5.113255,5.129853,5.15836,5.100264,4.568294,6.491632
ENSG00000012211,14.669657,13.487886,14.983143,14.068163,11.032615,9.170488
ENSG00000012223,2.428641,1.863283,6.08681,3.739872,0.419138,0.036256
ENSG00000012232,14.576684,17.853198,16.90076,18.969825,12.603429,12.968713
ENSG00000012504,0,0,0,0,0,0
ENSG00000012660,161.418103,154.800956,158.225016,143.234334,146.727658,142.328666
ENSG00000012779,0.102205,0.622954,1.135207,1.593639,0.244667,2.231777
ENSG00000012817,85.384742,0,0,0,27.157737,0
ENSG00000012822,245.106086,241.125145,264.856145,310.161695,49.758583,117.10635
ENSG00000012963,26.017499,29.349226,27.19707,26.011263,48.433631,32.525429
ENSG00000012983,40.65948,26.507835,34.888463,43.740915,23.88402,18.514011
ENSG00000013016,1.4001,1.438314,1.014582,1.858578,2.049208,1.829328
ENSG00000013275,50.993751,59.574813,47.243324,64.543211,104.881154,111.670579
ENSG00000013288,38.158141,37.11591,27.206258,32.493202,25.711775,32.258689
ENSG00000013293,0.131671,0.023444,0.143642,0.163936,0.05213,0.062028
ENSG00000013297,1.053676,0.428207,0.599354,6.764209,0.090943,0
ENSG00000013306,57.796474,59.420135,72.96317,85.418392,71.439453,73.47852
ENSG00000013364,183.933668,148.153772,202.117611,171.530934,112.78018,170.784028
ENSG00000013374,122.600782,125.487489,131.842721,104.423522,67.102138,96.446437
ENSG00000013375,19.352983,28.495322,21.754551,37.215149,18.271739,7.988387
ENSG00000013392,4.431093,3.156312,5.335713,6.611792,1.352192,2.160786
ENSG00000013441,283.208093,275.135589,425.129016,358.882472,92.09328,162.622872
ENSG00000013503,5.26135,2.012465,2.187545,3.294515,3.534747,3.633778
ENSG00000013523,15.814654,12.33343,15.739451,15.499655,4.189216,11.376864
ENSG00000013561,26.374216,34.922951,42.626408,33.462604,25.911528,34.922012
ENSG00000013563,27.878721,31.193247,23.371174,28.554511,18.56387,26.271186
ENSG00000013573,98.711382,56.446282,82.579555,100.881096,80.289325,84.457904
ENSG00000013583,8.466037,7.34127,18.349993,16.603865,3.045912,11.110497
ENSG00000013588,2.095954,1.611476,6.009087,0.45481,0,0
ENSG00000013619,8.128383,4.1056,7.859265,8.068953,5.379172,7.231004
ENSG00000013725,721.067759,726.98128,663.073972,501.061558,363.285768,512.134194
ENSG00000013810,98.451916,118.784647,113.681881,97.093932,170.597833,129.236461
ENSG00000014123,22.870929,29.266687,37.721306,25.468045,14.502193,22.291588
ENSG00000014138,9.015895,9.12993,11.050196,12.086047,43.310856,22.347248
ENSG00000014164,25.153883,31.62425,42.914504,23.834321,14.331794,24.725167
ENSG00000014216,106.268897,120.127573,77.196912,73.202477,110.783201,120.873843
ENSG00000014257,0.030093,0,0.097804,0,0,0
ENSG00000014641,79.134908,94.318365,90.961239,93.409437,167.14236,132.591869
ENSG00000014824,17.097236,21.627716,18.0159,23.242181,23.185121,19.198605
ENSG00000014914,3.552152,5.624847,6.982739,6.587329,0.59078,2.856059
ENSG00000014919,23.037379,22.783975,30.666094,25.661957,21.117389,18.861635
ENSG00000015133,152.812618,145.228463,123.907918,128.589912,79.819158,114.232103
ENSG00000015153,24.431123,24.86984,38.127883,21.870408,35.240247,33.69625
ENSG00000015171,43.062194,49.880745,35.320573,37.943687,30.586687,42.127382
ENSG00000015285,151.511621,248.678461,122.585586,134.584764,193.711587,237.67456
ENSG00000015413,0,0,0,0,0,0
ENSG00000015475,14.348896,14.738725,39.717158,27.643063,40.856259,31.384877
ENSG00000015479,233.991512,244.546337,290.805425,223.907291,238.444223,222.907579
ENSG00000015520,0.090101,0,0.194445,0.060714,0,0
ENSG00000015532,22.221906,18.290955,22.2868,24.036591,13.790372,21.050495
ENSG00000015568,7.50687,1.763536,26.984562,22.022097,3.566611,1.90002
ENSG00000015592,0.189387,0,0.680726,0,0,0.13688
ENSG00000015676,34.506593,35.019713,47.156624,42.737779,32.467755,40.906579
ENSG00000016082,0,0,0.033765,0.168751,0,0
ENSG00000016391,15.160106,25.623166,10.796824,9.10042,8.454449,27.808331
ENSG00000016402,0.082861,0,0,0,0,0
ENSG00000016490,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0
ENSG00000016864,67.088714,71.239429,73.416081,68.446501,41.047758,61.983557
ENSG00000017260,50.449556,50.18722,55.971078,47.95004,42.67962,43.311044
ENSG00000017427,3.902853,2.300904,1.522579,13.507872,0.70876,3.851587
ENSG00000017483,52.855037,41.506091,44.777831,23.195759,54.097726,43.656979
ENSG00000017797,46.017737,41.749221,65.578949,53.98459,52.923054,43.020333
ENSG00000018189,14.595297,9.17934,19.928627,16.965124,3.150235,5.30198
ENSG00000018236,0,0.027348,0,0,0,0
ENSG00000018280,0.353506,0.417557,0.495079,0.470189,0.144053,0.308408
ENSG00000018408,1.717213,1.133498,2.860932,18.669828,1.399882,2.383004
ENSG00000018510,14.534395,17.16461,17.432565,20.906804,30.738852,25.834725
ENSG00000018607,0,0,0,0,0,0
